     time [fs]	           Xi0	       lambda0	      Epot [H]	         T [K]	
      0.000000	     79.667735	     79.937582	      0.000013	    271.686717	
      5.000000	     79.667735	     79.908184	      0.000013	    271.686717	
     10.000000	     79.613782	     79.880188	      0.000016	    259.521281	
     15.000000	     79.613782	     79.851727	      0.000016	    259.521281	
     20.000000	     79.558992	     79.821788	      0.000020	    256.008710	
     25.000000	     79.558992	     79.789655	      0.000020	    256.008710	
     30.000000	     79.505976	     79.756693	      0.000024	    252.701795	
     35.000000	     79.505976	     79.725690	      0.000024	    252.701795	
     40.000000	     79.451758	     79.696128	      0.000030	    241.699465	
     45.000000	     79.451758	     79.666596	      0.000030	    241.699465	
     50.000000	     79.080484	     79.637244	      0.000077	    277.710167	
     55.000000	     79.080484	     79.607415	      0.000077	    277.710167	
     60.000000	     79.020219	     79.576204	      0.000085	    304.343709	
     65.000000	     79.020219	     79.545821	      0.000085	    304.343709	
     70.000000	     78.957652	     79.515042	      0.000091	    268.830734	
     75.000000	     78.957652	     79.484105	      0.000091	    268.830734	
     80.000000	     78.894615	     79.452690	      0.000097	    295.546629	
     85.000000	     78.894615	     79.422302	      0.000097	    295.546629	
     90.000000	     78.833525	     79.396608	      0.000103	    259.854714	
     95.000000	     78.833525	     79.372376	      0.000103	    259.854714	
    100.000000	     78.528731	     79.347308	      0.000145	    153.974304	
    105.000000	     78.528731	     79.323458	      0.000145	    153.974304	
    110.000000	     78.484229	     79.301773	      0.000153	    132.842901	
    115.000000	     78.484229	     79.279690	      0.000153	    132.842901	
    120.000000	     78.437542	     79.256074	      0.000162	    189.616355	
    125.000000	     78.437542	     79.231808	      0.000162	    189.616355	
    130.000000	     78.393656	     79.206079	      0.000169	    153.494547	
    135.000000	     78.393656	     79.179339	      0.000169	    153.494547	
    140.000000	     78.353708	     79.154297	      0.000176	    135.933058	
    145.000000	     78.353708	     79.129316	      0.000176	    135.933058	
    150.000000	     78.195034	     79.104628	      0.000187	     32.255506	
    155.000000	     78.195034	     79.081297	      0.000187	     32.255506	
    160.000000	     78.177502	     79.056462	      0.000186	     24.085106	
    165.000000	     78.177502	     79.033051	      0.000186	     24.085106	
    170.000000	     78.157134	     79.008014	      0.000185	     29.224532	
    175.000000	     78.157134	     78.978130	      0.000185	     29.224532	
    180.000000	     78.134369	     78.950142	      0.000184	     38.106758	
    185.000000	     78.134369	     78.927179	      0.000184	     38.106758	
    190.000000	     78.108785	     78.906553	      0.000184	     39.908349	
    195.000000	     78.108785	     78.884044	      0.000184	     39.908349	
    200.000000	     77.979074	     78.863242	      0.000164	     73.248463	
    205.000000	     77.979074	     78.843985	      0.000164	     73.248463	
    210.000000	     77.960125	     78.825388	      0.000159	     58.132244	
    215.000000	     77.960125	     78.810552	      0.000159	     58.132244	
    220.000000	     77.942671	     78.796685	      0.000154	     94.061982	
    225.000000	     77.942671	     78.783134	      0.000154	     94.061982	
    230.000000	     77.927776	     78.768812	      0.000149	     60.539657	
    235.000000	     77.927776	     78.752756	      0.000149	     60.539657	
    240.000000	     77.914569	     78.738349	      0.000145	     71.470881	
    245.000000	     77.914569	     78.726982	      0.000145	     71.470881	
    250.000000	     77.944046	     78.715124	      0.000109	    126.200468	
    255.000000	     77.944046	     78.703177	      0.000109	    126.200468	
    260.000000	     77.960963	     78.692760	      0.000102	    167.820844	
    265.000000	     77.960963	     78.682241	      0.000102	    167.820844	
    270.000000	     77.973264	     78.671353	      0.000096	    160.460826	
    275.000000	     77.973264	     78.659752	      0.000096	    160.460826	
    280.000000	     77.982667	     78.647635	      0.000091	    184.332334	
    285.000000	     77.982667	     78.636848	      0.000091	    184.332334	
    290.000000	     77.987105	     78.626697	      0.000087	    196.291572	
    295.000000	     77.987105	     78.616115	      0.000087	    196.291572	
    300.000000	     77.992510	     78.606232	      0.000090	    176.870227	
    305.000000	     77.992510	     78.598786	      0.000090	    176.870227	
    310.000000	     77.999973	     78.592972	      0.000094	    254.069078	
    315.000000	     77.999973	     78.588261	      0.000094	    254.069078	
    320.000000	     78.009223	     78.587762	      0.000100	    233.911831	
    325.000000	     78.009223	     78.589593	      0.000100	    233.911831	
    330.000000	     78.014458	     78.589502	      0.000107	    220.801553	
    335.000000	     78.014458	     78.588556	      0.000107	    220.801553	
    340.000000	     78.019646	     78.587622	      0.000116	    286.805984	
    345.000000	     78.019646	     78.586851	      0.000116	    286.805984	
    350.000000	     78.167379	     78.584070	      0.000184	    256.751316	
    355.000000	     78.167379	     78.579952	      0.000184	    256.751316	
    360.000000	     78.195200	     78.574338	      0.000200	    306.043221	
    365.000000	     78.195200	     78.566873	      0.000200	    306.043221	
    370.000000	     78.221729	     78.562490	      0.000216	    247.117860	
    375.000000	     78.221729	     78.560928	      0.000216	    247.117860	
    380.000000	     78.247146	     78.559969	      0.000234	    269.853138	
    385.000000	     78.247146	     78.558329	      0.000234	    269.853138	
    390.000000	     78.271751	     78.554049	      0.000249	    217.697520	
    395.000000	     78.271751	     78.547388	      0.000249	    217.697520	
    400.000000	     78.471157	     78.540378	      0.000376	    359.794863	
    405.000000	     78.471157	     78.532358	      0.000376	    359.794863	
    410.000000	     78.517345	     78.524856	      0.000409	    471.540195	
    415.000000	     78.517345	     78.519047	      0.000409	    471.540195	
    420.000000	     78.559305	     78.512941	      0.000440	    463.707110	
    425.000000	     78.559305	     78.504314	      0.000440	    463.707110	
    430.000000	     78.597770	     78.494837	      0.000470	    322.521563	
    435.000000	     78.597770	     78.483700	      0.000470	    322.521563	
    440.000000	     78.634057	     78.470208	      0.000498	    304.089931	
    445.000000	     78.634057	     78.454195	      0.000498	    304.089931	
    450.000000	     78.852321	     78.436748	      0.000631	    127.336713	
    455.000000	     78.852321	     78.423411	      0.000631	    127.336713	
    460.000000	     78.887402	     78.411699	      0.000650	    157.506206	
